"Reference","Quantity","Value","Digi-Key Part #"
"C1, C4, C6, C7, C11, C12, ","6","100nF","311-1088-1-ND"
"C2, C5, ","2","10uF","1276-6455-1-ND"
"C3, C8, ","2","22uF","1276-7092-1-ND"
"C9, C10, C13, C14, ","4","10nF","490-4778-1-ND"
"D1, D3, D5, D7, ","4","LED_RG","754-WP937SURKCGKW-ND"
"D9, ","1","GREEN LED","732-5007-ND"
"D10, ","1","YELLOW LED","732-5010-ND"
"D11, ","1","RED LED","732-5005-ND"
"D12, ","1","BLUE LED","732-5011-ND"
"J5, ","1","Conn_02x06_Odd_Even","S2211EC-06-ND"
"J6, ","1","Conn_02x05_Odd_Even","S9169-ND"
"R1, R2, R5, R6, ","4","620","13-MFR-25FTE52-620RCT-ND"
"R3, R4, ","2","2.2K","541-10449-1-ND"
"R7, R9, R13, R15, ","4","510","P17401CT-ND"
"R8, R10, R11, R12, R14, R16, R17, R18, ","8","1M","541-2803-1-ND"
"RV1, RV2, ","2","5K","3296W-502LF-ND"
"SO1, SO2, SO3, SO4, SO5, SO6, SO7, SO8, ","8","LED Spacer","732-11596-ND"
"SW1, SW2, SW3, ","3","SW_SPDT","EG1248-ND"
"SW4, ","1","MFS201N-9-Z","563-1565-ND"
"U1, U3, ","2","LM317","4518-LM317DCYRCT-ND"
"U2, U4, ","2","TL072CDR","296-1282-1-ND"
